"GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
8460,0.00942581357772804,6.27049865468869e-07,0.384827830685034,-4.98269426118285,-1.91747942349777,122.754041847084,"TPST1","tyrosylprotein sulfotransferase 1"
9023,0.0314421782881806,4.18336592445191e-06,0.837836736524359,-4.60205803542183,-3.85577328569353,20.4972586795399,"CH25H","cholesterol 25-hydroxylase"
2852,0.0855436901989259,1.74390240022172e-05,0.458237109840089,-4.29538523061643,-1.96830491372748,152.257193113571,"GPER1","G protein-coupled estrogen receptor 1"
3494,0.0855436901989259,2.27630894621942e-05,0.543498037761405,4.23590708743409,2.30220719016006,161.282687272844,"IGHA2","immunoglobulin heavy constant alpha 2 (A2m marker)"
8857,0.0972861875949364,3.2359695181924e-05,0.325849805852483,4.15619126456677,1.35429411664487,107.171536905356,"FCGBP","Fc gamma binding protein"
366,0.116498240429296,4.6500095966989e-05,0.261766218503613,-4.07255559551486,-1.06605747788365,3107.15641995097,"AQP9","aquaporin 9"
57561,0.122090635572106,5.6854340673546e-05,0.173539508891827,4.02550016465249,0.698583321617762,749.663618819049,"ARRDC3","arrestin domain containing 3"
11278,0.267940084787961,0.000142597171254902,0.284219169321949,3.80361947385867,1.0810615672769,199.120728510631,"KLF12","KLF transcription factor 12"
8819,0.270260316103032,0.000184316989225831,0.36371085520805,-3.73959498841003,-1.36013129136635,810.941752580849,"SAP30","Sin3A associated protein 30"
6352,0.270260316103032,0.00019776899129413,0.235935263245557,3.72184937203907,0.878115511352347,444.414975114065,"CCL5","C-C motif chemokine ligand 5"
80271,0.270260316103032,0.000185103370647012,0.355895451869482,-3.73852461644226,-1.3305239076939,352.516117666662,"ITPKC","inositol-trisphosphate 3-kinase C"
2180,0.553258523559558,0.000441664601032111,0.237851519463014,-3.51384851962849,-0.835774209556497,5434.55849413899,"ACSL1","acyl-CoA synthetase long chain family member 1"
3512,0.607826344540697,0.000557451674958188,0.501996889481121,3.45151359367544,1.73264908802687,183.112172905034,"JCHAIN","joining chain of multimeric IgA and IgM"
10613,0.607826344540697,0.000566096914819701,0.250661390363372,-3.44735847258474,-0.864119667819042,686.756181131214,"ERLIN1","ER lipid raft associated 1"
4778,0.814859320470878,0.00081312465454119,0.280098668641324,-3.34828799700692,-0.937851010189364,2066.13430820357,"NFE2","nuclear factor, erythroid 2"
2289,0.917556633399366,0.000983394629633884,0.354851647221047,-3.29523483449409,-1.1693195090004,4510.87032543903,"FKBP5","FKBP prolyl isomerase 5"
133,0.917556633399366,0.00103768379242877,0.414874505518989,-3.28010521695718,-1.36083202993537,552.414515473999,"ADM","adrenomedullin"
100287102,0.999854284110087,0.616941865758963,1.09282202768448,0.500189194993832,0.54661777029903,7.71233432031462,"DDX11L1","DEAD/H-box helicase 11 like 1 (pseudogene)"
653635,0.999854284110087,0.921626030877523,0.263217175292473,-0.0983856980561143,-0.0258968055315085,683.236957833053,"WASH7P","WASP family homolog 7, pseudogene"
102466751,0.999854284110087,0.814991367971682,0.513058117046275,-0.233991769930663,-0.120051376884951,25.8780939442846,"MIR6859-1","microRNA 6859-1"
100996442,0.999854284110087,0.9359219323466,0.367703720982893,-0.0803964725196794,-0.029562082099385,95.7507364822928,"LOC100996442","WAS protein family homolog 2-like"
729737,0.999854284110087,0.736185367442236,0.224245971805046,-0.336909176561906,-0.0755505257081623,2687.25964429248,"LOC729737","uncharacterized LOC729737"
102725121,0.999854284110087,0.669007473684536,1.23302828779211,0.427510589649649,0.527132650368703,12.1883160364187,"DDX11L17","DEAD/H-box helicase 11 like 17 (pseudogene)"
102723897,0.999854284110087,0.727185171223533,0.234080393027084,-0.3488723138054,-0.0816641683318364,786.599130335233,"WASH9P","WAS protein family homolog 9, pseudogene"
102465909,0.999854284110087,0.869451765409609,0.622369742590259,-0.16435489984239,-0.102289516708356,14.6782737627025,"MIR6859-2","microRNA 6859-2"
100132287,0.999854284110087,0.894285017483102,0.235105867042638,-0.132884130670422,-0.0312418387574769,803.088968881955,"LOC100132287","uncharacterized LOC100132287"
113219467,0.999854284110087,0.701216069222904,0.239388275803469,0.383679418083337,0.0918483543562484,578.011258776466,"MIR12136","microRNA 12136"
100133331,0.999854284110087,0.986666577337693,0.228931542860041,-0.0167117449716493,-0.00382584556024321,475.879841152831,"LOC100133331","replaced by ID 100288069"
107984841,0.999854284110087,0.832324936433803,0.296133437121635,0.211720701894082,0.0626975791616995,142.637865873558,"LOC107984841","replaced by ID 100288069"
107984847,0.999854284110087,0.91829032157758,0.406535463221479,-0.102587553509038,-0.0417054785865549,122.999999230452,"LOC107984847","replaced by ID 100288069"
107984849,0.999854284110087,0.951497149733523,0.444051843169752,0.060826795966087,0.0270102508628513,62.8284806971534,"LOC107984849","replaced by ID 100288069"
100288069,0.999854284110087,0.887470178164639,0.336638776560365,-0.141506053497846,-0.0476364247254004,65.2994373679978,"LOC100288069","uncharacterized LOC100288069"
105378580,0.999854284110087,0.31478726601207,0.627051562264695,1.00522760421626,0.630329539655403,18.777508130726,"LINC01409","long intergenic non-protein coding RNA 1409"
400728,0.999854284110087,0.227190702958506,0.527843183940983,1.20762717122286,0.63743777107192,19.5291954655754,"FAM87B","family with sequence similarity 87 member B"
79854,0.999854284110087,0.968440362391637,0.405934552539648,0.0395644595744032,0.0160605811938083,49.6418375262206,"LINC00115","long intergenic non-protein coding RNA 115"
643837,0.999854284110087,0.197293174047299,0.251468642656276,1.28930183284258,0.324218981879172,112.406452543585,"LINC01128","long intergenic non-protein coding RNA 1128"
148398,0.999854284110087,0.52243423607249,0.341315198679643,0.639597610927722,0.218304385648821,91.2929059375376,"SAMD11","sterile alpha motif domain containing 11"
26155,0.999854284110087,0.76353724550436,0.184426227977815,0.300839028812285,0.0554826073123588,1278.10973912814,"NOC2L","NOC2 like nucleolar associated transcriptional repressor"
339451,0.999854284110087,0.918139556620885,0.259467279678211,0.102777508138456,0.0266674004487904,320.440140142418,"KLHL17","kelch like family member 17"
84069,0.999854284110087,0.936626771811536,0.453799852649475,-0.0795102591695777,-0.036081743895276,47.7941330737327,"PLEKHN1","pleckstrin homology domain containing N1"
57801,0.999854284110087,0.928991202496486,0.533865896267253,0.0891141368710877,0.0475749985507659,155.914738216469,"HES4","hes family bHLH transcription factor 4"
9636,0.999854284110087,0.307422069877109,0.764484594273718,-1.0206462475436,-0.780268332450358,444.038480616067,"ISG15","ISG15 ubiquitin like modifier"
375790,0.999854284110087,0.292847480672897,0.315388164887521,-1.05189553503369,-0.331755402447653,218.843107676551,"AGRN","agrin"
112267874,0.999854284110087,0.323955656454033,0.792358908792044,-0.986361691865804,-0.781552473841062,9.45458568766142,"LOC112267874","replaced by ID 105378948"
105378948,0.999854284110087,0.193973144799318,0.707955415904897,-1.29891487334148,-0.919573819381525,13.3775168328488,"LOC105378948","uncharacterized LOC105378948"
54991,0.999854284110087,0.930526529822218,0.288015387872848,-0.0871823987755093,-0.0251098723990137,210.102543011547,"C1orf159","chromosome 1 open reading frame 159"
7293,0.999854284110087,0.123935256378662,0.639821958823354,1.53846378660269,0.984342913522926,13.1461336643189,"TNFRSF4","TNF receptor superfamily member 4"
51150,0.999854284110087,0.674820929276748,0.170689365995783,-0.419540819157022,-0.0716111564312636,3568.41294082016,"SDF4","stromal cell derived factor 4"
126792,0.999854284110087,0.830841470511101,0.237728693259483,-0.213622476186489,-0.0507841921146689,433.99408676699,"B3GALT6","beta-1,3-galactosyltransferase 6"
118424,0.999854284110087,0.497622033887279,0.197166747982142,-0.678236057390195,-0.133725597799854,1188.71008155739,"UBE2J2","ubiquitin conjugating enzyme E2 J2"
